lane,reason,player1_name,player2_name,player1_normalized,player2_normalized,capture_date_first,capture_date_last,snapshot_count,source_files,details
ATP,unresolved_full_name,Matteo Arnaldi,Jaume Munar,matteo arnaldi,jaume munar,2026-05-05,2026-05-06,31,pinnacle-history-20260505-110246.csv|pinnacle-history-20260505-113248.csv|pinnacle-history-20260505-120249.csv|pinnacle-history-20260505-123240.csv|pinnacle-history-20260505-130247.csv|pinnacle-history-20260505-133308.csv|pinnacle-history-20260505-140254.csv|pinnacle-history-20260505-143253.csv|pinnacle-history-20260505-150241.csv|pinnacle-history-20260505-153242.csv|pinnacle-history-20260505-160243.csv|pinnacle-history-20260505-163246.csv|pinnacle-history-20260505-170243.csv|pinnacle-history-20260505-173249.csv|pinnacle-history-20260505-180243.csv|pinnacle-history-20260505-183256.csv|pinnacle-history-20260505-190242.csv|pinnacle-history-20260505-193313.csv|pinnacle-history-20260505-200243.csv|pinnacle-history-20260505-203254.csv|pinnacle-history-20260505-210259.csv|pinnacle-history-20260505-213251.csv|pinnacle-history-20260505-220247.csv|pinnacle-history-20260505-223303.csv|pinnacle-history-20260505-230253.csv|pinnacle-history-20260505-233246.csv|pinnacle-history-20260506-071439.csv|pinnacle-history-20260506-073244.csv|pinnacle-history-20260506-074426.csv|pinnacle-history-20260506-081428.csv|pinnacle-history-20260506-084426.csv,player2
ATP,unresolved_full_name,Mattia Bellucci,Taylor Fritz,mattia bellucci,taylor fritz,2026-06-11,2026-06-12,31,pinnacle-history-20260611-181505.csv|pinnacle-history-20260611-184512.csv|pinnacle-history-20260611-191502.csv|pinnacle-history-20260611-194509.csv|pinnacle-history-20260611-201510.csv|pinnacle-history-20260611-204505.csv|pinnacle-history-20260611-211513.csv|pinnacle-history-20260611-213754.csv|pinnacle-history-20260611-214503.csv|pinnacle-history-20260611-221507.csv|pinnacle-history-20260611-224510.csv|pinnacle-history-20260612-075957.csv|pinnacle-history-20260612-081459.csv|pinnacle-history-20260612-082953.csv|pinnacle-history-20260612-084500.csv|pinnacle-history-20260612-085958.csv|pinnacle-history-20260612-091048.csv|pinnacle-history-20260612-091458.csv|pinnacle-history-20260612-092955.csv|pinnacle-history-20260612-095955.csv|pinnacle-history-20260612-103001.csv|pinnacle-history-20260612-110004.csv|pinnacle-history-20260612-113005.csv|pinnacle-history-20260612-115955.csv|pinnacle-history-20260612-122954.csv|pinnacle-history-20260612-125957.csv|pinnacle-history-20260612-132958.csv|pinnacle-history-20260612-135956.csv|pinnacle-history-20260612-142954.csv|pinnacle-history-20260612-145954.csv|pinnacle-history-20260612-153001.csv,player2
ATP,unresolved_full_name,Nicolai Budkov Kjaer,Joao Reis Da Silva,nicolai budkov kjaer,joao reis da silva,2026-06-21,2026-06-22,21,pinnacle-history-20260621-232120.csv|pinnacle-history-20260621-235116.csv|pinnacle-history-20260622-002117.csv|pinnacle-history-20260622-091352.csv|pinnacle-history-20260622-092116.csv|pinnacle-history-20260622-094334.csv|pinnacle-history-20260622-095117.csv|pinnacle-history-20260622-101331.csv|pinnacle-history-20260622-102117.csv|pinnacle-history-20260622-104331.csv|pinnacle-history-20260622-105116.csv|pinnacle-history-20260622-111334.csv|pinnacle-history-20260622-112115.csv|pinnacle-history-20260622-114332.csv|pinnacle-history-20260622-115118.csv|pinnacle-history-20260622-121334.csv|pinnacle-history-20260622-122115.csv|pinnacle-history-20260622-124329.csv|pinnacle-history-20260622-125116.csv|pinnacle-history-20260622-131331.csv|pinnacle-history-20260622-132116.csv,player2
ATP,unresolved_full_name,Nicolas Mejia,Alex Hernandez,nicolas mejia,alex hernandez,2026-07-25,2026-07-25,17,pinnacle-history-20260725-173143.csv|pinnacle-history-20260725-174408.csv|pinnacle-history-20260725-180146.csv|pinnacle-history-20260725-181407.csv|pinnacle-history-20260725-183145.csv|pinnacle-history-20260725-184407.csv|pinnacle-history-20260725-190146.csv|pinnacle-history-20260725-191408.csv|pinnacle-history-20260725-193144.csv|pinnacle-history-20260725-194408.csv|pinnacle-history-20260725-201406.csv|pinnacle-history-20260725-204406.csv|pinnacle-history-20260725-211405.csv|pinnacle-history-20260725-213710.csv|pinnacle-history-20260725-214403.csv|pinnacle-history-20260725-221406.csv|pinnacle-history-20260725-224404.csv,player2
ATP,unresolved_full_name,Nikolas Sanchez Izquierdo,Soonwoo Kwon,nikolas sanchez izquierdo,soonwoo kwon,2026-06-21,2026-06-22,12,pinnacle-history-20260621-232120.csv|pinnacle-history-20260621-235116.csv|pinnacle-history-20260622-002117.csv|pinnacle-history-20260622-091352.csv|pinnacle-history-20260622-092116.csv|pinnacle-history-20260622-094334.csv|pinnacle-history-20260622-095117.csv|pinnacle-history-20260622-101331.csv|pinnacle-history-20260622-102117.csv|pinnacle-history-20260622-104331.csv|pinnacle-history-20260622-105116.csv|pinnacle-history-20260622-111334.csv,player2
ATP,unresolved_full_name,Nishesh Basavareddy,Jaume Munar,nishesh basavareddy,jaume munar,2026-05-18,2026-05-19,39,pinnacle-history-20260518-090822.csv|pinnacle-history-20260518-092008.csv|pinnacle-history-20260518-095016.csv|pinnacle-history-20260518-102025.csv|pinnacle-history-20260518-105008.csv|pinnacle-history-20260518-112006.csv|pinnacle-history-20260518-122010.csv|pinnacle-history-20260518-125009.csv|pinnacle-history-20260518-132011.csv|pinnacle-history-20260518-135008.csv|pinnacle-history-20260518-145016.csv|pinnacle-history-20260518-152126.csv|pinnacle-history-20260518-155006.csv|pinnacle-history-20260518-162003.csv|pinnacle-history-20260518-165007.csv|pinnacle-history-20260518-172004.csv|pinnacle-history-20260518-175005.csv|pinnacle-history-20260518-182012.csv|pinnacle-history-20260518-185004.csv|pinnacle-history-20260518-192142.csv|pinnacle-history-20260518-195007.csv|pinnacle-history-20260518-202008.csv|pinnacle-history-20260518-205005.csv|pinnacle-history-20260518-212016.csv|pinnacle-history-20260518-215307.csv|pinnacle-history-20260518-222138.csv|pinnacle-history-20260518-225020.csv|pinnacle-history-20260518-230228.csv|pinnacle-history-20260518-232010.csv|pinnacle-history-20260519-090433.csv|pinnacle-history-20260519-090756.csv|pinnacle-history-20260519-092002.csv|pinnacle-history-20260519-093430.csv|pinnacle-history-20260519-095005.csv|pinnacle-history-20260519-101206.csv|pinnacle-history-20260519-103458.csv|pinnacle-history-20260519-110607.csv|pinnacle-history-20260519-113438.csv|pinnacle-history-20260519-120617.csv,player2
ATP,unresolved_full_name,Otto Virtanen,Pedro Martinez,otto virtanen,pedro martinez,2026-06-21,2026-06-22,22,pinnacle-history-20260621-232120.csv|pinnacle-history-20260621-235116.csv|pinnacle-history-20260622-002117.csv|pinnacle-history-20260622-091352.csv|pinnacle-history-20260622-092116.csv|pinnacle-history-20260622-094334.csv|pinnacle-history-20260622-095117.csv|pinnacle-history-20260622-101331.csv|pinnacle-history-20260622-102117.csv|pinnacle-history-20260622-104331.csv|pinnacle-history-20260622-105116.csv|pinnacle-history-20260622-111334.csv|pinnacle-history-20260622-112115.csv|pinnacle-history-20260622-114332.csv|pinnacle-history-20260622-115118.csv|pinnacle-history-20260622-121334.csv|pinnacle-history-20260622-122115.csv|pinnacle-history-20260622-124329.csv|pinnacle-history-20260622-125116.csv|pinnacle-history-20260622-131331.csv|pinnacle-history-20260622-132116.csv|pinnacle-history-20260622-134331.csv,player2
ATP,unresolved_full_name,Pedro Martinez,Aleksandar Vukic,pedro martinez,aleksandar vukic,2026-04-03,2026-04-04,4,pinnacle-history-20260403-232841.csv|pinnacle-history-20260403-233031.csv|pinnacle-history-20260404-080016.csv|pinnacle-history-20260404-090132.csv,player1
ATP,unresolved_full_name,Pedro Martinez,David Jorda Sanchis,pedro martinez,david jorda sanchis,2026-07-18,2026-07-18,8,pinnacle-history-20260718-094948.csv|pinnacle-history-20260718-101624.csv|pinnacle-history-20260718-102102.csv|pinnacle-history-20260718-104720.csv|pinnacle-history-20260718-111824.csv|pinnacle-history-20260718-114550.csv|pinnacle-history-20260718-121625.csv|pinnacle-history-20260718-124615.csv,player1
ATP,unresolved_full_name,Pedro Martinez,Jesper De Jong,pedro martinez,jesper de jong,2026-05-03,2026-05-04,10,pinnacle-history-20260503-191140.csv|pinnacle-history-20260503-194120.csv|pinnacle-history-20260503-201123.csv|pinnacle-history-20260503-204125.csv|pinnacle-history-20260503-211121.csv|pinnacle-history-20260503-214121.csv|pinnacle-history-20260503-221126.csv|pinnacle-history-20260503-224124.csv|pinnacle-history-20260503-230727.csv|pinnacle-history-20260504-081134.csv,player1
ATP,unresolved_full_name,Pedro Martinez,Lorenzo Sonego,pedro martinez,lorenzo sonego,2026-04-13,2026-04-13,1,pinnacle-history-20260413-230054.csv,player1
ATP,unresolved_full_name,Pedro Martinez,Luciano Darderi,pedro martinez,luciano darderi,2026-07-21,2026-07-23,74,pinnacle-history-20260721-085736.csv|pinnacle-history-20260721-085756.csv|pinnacle-history-20260721-091205.csv|pinnacle-history-20260721-092729.csv|pinnacle-history-20260721-092754.csv|pinnacle-history-20260721-095729.csv|pinnacle-history-20260721-102729.csv|pinnacle-history-20260721-105731.csv|pinnacle-history-20260721-142735.csv|pinnacle-history-20260721-145744.csv|pinnacle-history-20260721-152733.csv|pinnacle-history-20260721-155730.csv|pinnacle-history-20260721-162728.csv|pinnacle-history-20260721-165730.csv|pinnacle-history-20260721-172729.csv|pinnacle-history-20260721-175729.csv|pinnacle-history-20260721-182729.csv|pinnacle-history-20260721-185729.csv|pinnacle-history-20260721-192728.csv|pinnacle-history-20260721-195726.csv|pinnacle-history-20260721-202725.csv|pinnacle-history-20260721-205734.csv|pinnacle-history-20260721-212729.csv|pinnacle-history-20260721-213629.csv|pinnacle-history-20260721-215958.csv|pinnacle-history-20260721-222759.csv|pinnacle-history-20260721-225922.csv|pinnacle-history-20260722-092630.csv|pinnacle-history-20260722-092726.csv|pinnacle-history-20260722-094839.csv|pinnacle-history-20260722-095724.csv|pinnacle-history-20260722-101840.csv|pinnacle-history-20260722-102726.csv|pinnacle-history-20260722-104838.csv|pinnacle-history-20260722-111847.csv|pinnacle-history-20260722-114838.csv|pinnacle-history-20260722-121845.csv|pinnacle-history-20260722-124839.csv|pinnacle-history-20260722-131841.csv|pinnacle-history-20260722-134843.csv|pinnacle-history-20260722-141838.csv|pinnacle-history-20260722-144838.csv|pinnacle-history-20260722-151843.csv|pinnacle-history-20260722-154843.csv|pinnacle-history-20260722-161838.csv|pinnacle-history-20260722-164849.csv|pinnacle-history-20260722-171850.csv|pinnacle-history-20260722-174838.csv|pinnacle-history-20260722-181849.csv|pinnacle-history-20260722-184851.csv|pinnacle-history-20260722-192031.csv|pinnacle-history-20260722-194918.csv|pinnacle-history-20260722-202329.csv|pinnacle-history-20260722-204912.csv|pinnacle-history-20260722-212042.csv|pinnacle-history-20260722-215350.csv|pinnacle-history-20260722-222116.csv|pinnacle-history-20260722-224916.csv|pinnacle-history-20260722-232300.csv|pinnacle-history-20260723-091308.csv|pinnacle-history-20260723-091839.csv|pinnacle-history-20260723-093735.csv|pinnacle-history-20260723-094837.csv|pinnacle-history-20260723-100734.csv|pinnacle-history-20260723-101837.csv|pinnacle-history-20260723-103732.csv|pinnacle-history-20260723-133737.csv|pinnacle-history-20260723-140735.csv|pinnacle-history-20260723-150736.csv|pinnacle-history-20260723-153734.csv|pinnacle-history-20260723-160733.csv|pinnacle-history-20260723-163735.csv|pinnacle-history-20260723-170735.csv|pinnacle-history-20260723-173741.csv,player1
ATP,unresolved_full_name,Pedro Martinez,Pablo Carreno Busta,pedro martinez,pablo carreno busta,2026-04-11,2026-04-11,1,pinnacle-history-20260411-090938.csv,player1
ATP,unresolved_full_name,Pedro Martinez,Timofey Skatov,pedro martinez,timofey skatov,2026-07-18,2026-07-19,24,pinnacle-history-20260718-184937.csv|pinnacle-history-20260718-191618.csv|pinnacle-history-20260718-194808.csv|pinnacle-history-20260718-201559.csv|pinnacle-history-20260718-204645.csv|pinnacle-history-20260718-211546.csv|pinnacle-history-20260718-214650.csv|pinnacle-history-20260718-221539.csv|pinnacle-history-20260718-224546.csv|pinnacle-history-20260718-231603.csv|pinnacle-history-20260719-092316.csv|pinnacle-history-20260719-093510.csv|pinnacle-history-20260719-094505.csv|pinnacle-history-20260719-100511.csv|pinnacle-history-20260719-101506.csv|pinnacle-history-20260719-103509.csv|pinnacle-history-20260719-104506.csv|pinnacle-history-20260719-110512.csv|pinnacle-history-20260719-113541.csv|pinnacle-history-20260719-120535.csv|pinnacle-history-20260719-123510.csv|pinnacle-history-20260719-130512.csv|pinnacle-history-20260719-133512.csv|pinnacle-history-20260719-140515.csv,player1
ATP,unresolved_full_name,Pedro Martinez,Yannick Hanfmann,pedro martinez,yannick hanfmann,2026-07-13,2026-07-13,9,pinnacle-history-20260713-183522.csv|pinnacle-history-20260713-190948.csv|pinnacle-history-20260713-200134.csv|pinnacle-history-20260713-203227.csv|pinnacle-history-20260713-210353.csv|pinnacle-history-20260713-214126.csv|pinnacle-history-20260713-220016.csv|pinnacle-history-20260713-223021.csv|pinnacle-history-20260713-230011.csv,player1
ATP,unresolved_full_name,Rei Sakamoto,Pedro Martinez,rei sakamoto,pedro martinez,2026-05-18,2026-05-19,42,pinnacle-history-20260518-105008.csv|pinnacle-history-20260518-112006.csv|pinnacle-history-20260518-122010.csv|pinnacle-history-20260518-125009.csv|pinnacle-history-20260518-132011.csv|pinnacle-history-20260518-135008.csv|pinnacle-history-20260518-145016.csv|pinnacle-history-20260518-152126.csv|pinnacle-history-20260518-155006.csv|pinnacle-history-20260518-162003.csv|pinnacle-history-20260518-165007.csv|pinnacle-history-20260518-172004.csv|pinnacle-history-20260518-175005.csv|pinnacle-history-20260518-182012.csv|pinnacle-history-20260518-185004.csv|pinnacle-history-20260518-192142.csv|pinnacle-history-20260518-195007.csv|pinnacle-history-20260518-202008.csv|pinnacle-history-20260518-205005.csv|pinnacle-history-20260518-212016.csv|pinnacle-history-20260518-215307.csv|pinnacle-history-20260518-222138.csv|pinnacle-history-20260518-225020.csv|pinnacle-history-20260518-230228.csv|pinnacle-history-20260518-232010.csv|pinnacle-history-20260519-090433.csv|pinnacle-history-20260519-090756.csv|pinnacle-history-20260519-092002.csv|pinnacle-history-20260519-093430.csv|pinnacle-history-20260519-095005.csv|pinnacle-history-20260519-101206.csv|pinnacle-history-20260519-103458.csv|pinnacle-history-20260519-110607.csv|pinnacle-history-20260519-113438.csv|pinnacle-history-20260519-120617.csv|pinnacle-history-20260519-123436.csv|pinnacle-history-20260519-130433.csv|pinnacle-history-20260519-133433.csv|pinnacle-history-20260519-140431.csv|pinnacle-history-20260519-143436.csv|pinnacle-history-20260519-150719.csv|pinnacle-history-20260519-153856.csv,player2
ATP,unresolved_full_name,Reilly Opelka,Taylor Fritz,reilly opelka,taylor fritz,2026-03-21,2026-03-22,3,pinnacle-history-20260321-110409.csv|pinnacle-history-20260322-000345.csv|pinnacle-history-20260322-110941.csv,player2
ATP,unresolved_full_name,Sonja Zhiyenbayeva,Kayla Cross,sonja zhiyenbayeva,kayla cross,2026-04-11,2026-04-11,1,pinnacle-history-20260411-090938.csv,player1
ATP,unresolved_full_name,Soonwoo Kwon,Arthur Gea,soonwoo kwon,arthur gea,2026-06-23,2026-07-28,66,pinnacle-history-20260623-110320.csv|pinnacle-history-20260623-113323.csv|pinnacle-history-20260623-120319.csv|pinnacle-history-20260623-123330.csv|pinnacle-history-20260623-130319.csv|pinnacle-history-20260623-133318.csv|pinnacle-history-20260623-140318.csv|pinnacle-history-20260623-143321.csv|pinnacle-history-20260623-150325.csv|pinnacle-history-20260623-153325.csv|pinnacle-history-20260623-160323.csv|pinnacle-history-20260623-163323.csv|pinnacle-history-20260623-170334.csv|pinnacle-history-20260623-173324.csv|pinnacle-history-20260623-180321.csv|pinnacle-history-20260623-183323.csv|pinnacle-history-20260623-190324.csv|pinnacle-history-20260623-193321.csv|pinnacle-history-20260623-200320.csv|pinnacle-history-20260623-203322.csv|pinnacle-history-20260623-210325.csv|pinnacle-history-20260623-213844.csv|pinnacle-history-20260623-220324.csv|pinnacle-history-20260623-223325.csv|pinnacle-history-20260623-230321.csv|pinnacle-history-20260623-233329.csv|pinnacle-history-20260624-000326.csv|pinnacle-history-20260624-082906.csv|pinnacle-history-20260624-083316.csv|pinnacle-history-20260624-085904.csv|pinnacle-history-20260624-090908.csv|pinnacle-history-20260624-092902.csv|pinnacle-history-20260624-095904.csv|pinnacle-history-20260624-103000.csv|pinnacle-history-20260624-105945.csv|pinnacle-history-20260624-113209.csv|pinnacle-history-20260624-120137.csv|pinnacle-history-20260624-123030.csv|pinnacle-history-20260624-130005.csv|pinnacle-history-20260624-133111.csv|pinnacle-history-20260624-135954.csv|pinnacle-history-20260624-143048.csv|pinnacle-history-20260624-150037.csv|pinnacle-history-20260727-144307.csv|pinnacle-history-20260727-151650.csv|pinnacle-history-20260727-154041.csv|pinnacle-history-20260727-161516.csv|pinnacle-history-20260727-164300.csv|pinnacle-history-20260727-171941.csv|pinnacle-history-20260727-174508.csv|pinnacle-history-20260727-181711.csv|pinnacle-history-20260727-184255.csv|pinnacle-history-20260727-191539.csv|pinnacle-history-20260727-205730.csv|pinnacle-history-20260727-211323.csv|pinnacle-history-20260727-221149.csv|pinnacle-history-20260727-224047.csv|pinnacle-history-20260727-231406.csv|pinnacle-history-20260727-234113.csv|pinnacle-history-20260728-100454.csv|pinnacle-history-20260728-103646.csv|pinnacle-history-20260728-133454.csv|pinnacle-history-20260728-141816.csv|pinnacle-history-20260728-143423.csv|pinnacle-history-20260728-150510.csv|pinnacle-history-20260728-153432.csv,player1
ATP,unresolved_full_name,Soonwoo Kwon,Edward Winter,soonwoo kwon,edward winter,2026-07-26,2026-07-26,21,pinnacle-history-20260726-140544.csv|pinnacle-history-20260726-141409.csv|pinnacle-history-20260726-143544.csv|pinnacle-history-20260726-144410.csv|pinnacle-history-20260726-150543.csv|pinnacle-history-20260726-151409.csv|pinnacle-history-20260726-153542.csv|pinnacle-history-20260726-160542.csv|pinnacle-history-20260726-163543.csv|pinnacle-history-20260726-170543.csv|pinnacle-history-20260726-173545.csv|pinnacle-history-20260726-180542.csv|pinnacle-history-20260726-183541.csv|pinnacle-history-20260726-190544.csv|pinnacle-history-20260726-193541.csv|pinnacle-history-20260726-200541.csv|pinnacle-history-20260726-203541.csv|pinnacle-history-20260726-210545.csv|pinnacle-history-20260726-213753.csv|pinnacle-history-20260726-220542.csv|pinnacle-history-20260726-223545.csv,player1
ATP,unresolved_full_name,Soonwoo Kwon,Martin Landaluce,soonwoo kwon,martin landaluce,2026-06-27,2026-06-29,4,pinnacle-history-20260627-214123.csv|pinnacle-history-20260628-092246.csv|pinnacle-history-20260628-214027.csv|pinnacle-history-20260629-091445.csv,player1
ATP,unresolved_full_name,Soonwoo Kwon,Tommy Paul,soonwoo kwon,tommy paul,2026-06-29,2026-06-30,2,pinnacle-history-20260629-213953.csv|pinnacle-history-20260630-213859.csv,player1
ATP,unresolved_full_name,Stefan Horia Haita,Joel Josef Schwaerzler,stefan horia haita,joel josef schwaerzler,2026-03-29,2026-03-30,2,pinnacle-history-20260329-105605.csv|pinnacle-history-20260330-101001.csv,player2
ATP,unresolved_full_name,Talia Gibson,Mika Stojsavljevic,talia gibson,mika stojsavljevic,2026-04-09,2026-04-09,1,pinnacle-history-20260409-230929.csv,player1
ATP,unresolved_full_name,Tamara Zidansek,Kaitlin Quevedo,tamara zidansek,kaitlin quevedo,2026-04-09,2026-04-09,1,pinnacle-history-20260409-230929.csv,player1
ATP,unresolved_full_name,Tamara Zidansek,Leyre Romero Gormaz,tamara zidansek,leyre romero gormaz,2026-04-11,2026-04-11,1,pinnacle-history-20260411-090938.csv,player1
ATP,unresolved_full_name,Taylor Fritz,Alexander Bublik,taylor fritz,alexander bublik,2026-07-05,2026-07-05,2,pinnacle-history-20260705-091423.csv|pinnacle-history-20260705-214004.csv,player1
ATP,unresolved_full_name,Taylor Fritz,Alexander Zverev,taylor fritz,alexander zverev,2026-07-07,2026-07-08,2,pinnacle-history-20260707-214210.csv|pinnacle-history-20260708-091242.csv,player1
ATP,unresolved_full_name,Taylor Fritz,Alexei Popyrin,taylor fritz,alexei popyrin,2026-05-19,2026-05-20,20,pinnacle-history-20260519-163511.csv|pinnacle-history-20260519-170825.csv|pinnacle-history-20260519-173512.csv|pinnacle-history-20260519-180612.csv|pinnacle-history-20260519-183549.csv|pinnacle-history-20260519-190605.csv|pinnacle-history-20260519-193625.csv|pinnacle-history-20260519-200448.csv|pinnacle-history-20260519-203642.csv|pinnacle-history-20260519-210547.csv|pinnacle-history-20260519-213628.csv|pinnacle-history-20260519-220447.csv|pinnacle-history-20260519-223633.csv|pinnacle-history-20260519-231022.csv|pinnacle-history-20260519-234143.csv|pinnacle-history-20260520-000713.csv|pinnacle-history-20260520-004117.csv|pinnacle-history-20260520-093825.csv|pinnacle-history-20260520-094857.csv|pinnacle-history-20260520-101901.csv,player1
ATP,unresolved_full_name,Taylor Fritz,Dusan Lajovic,taylor fritz,dusan lajovic,2026-06-29,2026-06-29,1,pinnacle-history-20260629-213953.csv,player1
ATP,unresolved_full_name,Taylor Fritz,Frances Tiafoe,taylor fritz,frances tiafoe,2026-06-20,2026-06-21,25,pinnacle-history-20260620-225317.csv|pinnacle-history-20260620-232319.csv|pinnacle-history-20260621-085126.csv|pinnacle-history-20260621-085313.csv|pinnacle-history-20260621-090917.csv|pinnacle-history-20260621-092119.csv|pinnacle-history-20260621-092317.csv|pinnacle-history-20260621-095119.csv|pinnacle-history-20260621-095314.csv|pinnacle-history-20260621-102127.csv|pinnacle-history-20260621-102314.csv|pinnacle-history-20260621-105118.csv|pinnacle-history-20260621-105315.csv|pinnacle-history-20260621-112120.csv|pinnacle-history-20260621-112318.csv|pinnacle-history-20260621-115123.csv|pinnacle-history-20260621-115322.csv|pinnacle-history-20260621-122126.csv|pinnacle-history-20260621-122318.csv|pinnacle-history-20260621-125120.csv|pinnacle-history-20260621-125316.csv|pinnacle-history-20260621-132117.csv|pinnacle-history-20260621-132314.csv|pinnacle-history-20260621-135117.csv|pinnacle-history-20260621-135315.csv,player1
ATP,unresolved_full_name,Taylor Fritz,Jack Draper,taylor fritz,jack draper,2026-06-27,2026-06-29,4,pinnacle-history-20260627-214123.csv|pinnacle-history-20260628-092246.csv|pinnacle-history-20260628-214027.csv|pinnacle-history-20260629-091445.csv,player1
ATP,unresolved_full_name,Taylor Fritz,Jan Choinski,taylor fritz,jan choinski,2026-06-23,2026-06-24,34,pinnacle-history-20260623-123330.csv|pinnacle-history-20260623-130319.csv|pinnacle-history-20260623-133318.csv|pinnacle-history-20260623-140318.csv|pinnacle-history-20260623-143321.csv|pinnacle-history-20260623-150325.csv|pinnacle-history-20260623-153325.csv|pinnacle-history-20260623-160323.csv|pinnacle-history-20260623-163323.csv|pinnacle-history-20260623-170334.csv|pinnacle-history-20260623-173324.csv|pinnacle-history-20260623-180321.csv|pinnacle-history-20260623-183323.csv|pinnacle-history-20260623-190324.csv|pinnacle-history-20260623-193321.csv|pinnacle-history-20260623-200320.csv|pinnacle-history-20260623-203322.csv|pinnacle-history-20260623-210325.csv|pinnacle-history-20260623-213844.csv|pinnacle-history-20260623-220324.csv|pinnacle-history-20260623-223325.csv|pinnacle-history-20260623-230321.csv|pinnacle-history-20260623-233329.csv|pinnacle-history-20260624-000326.csv|pinnacle-history-20260624-082906.csv|pinnacle-history-20260624-083316.csv|pinnacle-history-20260624-085904.csv|pinnacle-history-20260624-090908.csv|pinnacle-history-20260624-092902.csv|pinnacle-history-20260624-095904.csv|pinnacle-history-20260624-103000.csv|pinnacle-history-20260624-105945.csv|pinnacle-history-20260624-113209.csv|pinnacle-history-20260624-120137.csv,player1
ATP,unresolved_full_name,Taylor Fritz,Lorenzo Sonego,taylor fritz,lorenzo sonego,2026-07-02,2026-07-04,4,pinnacle-history-20260702-213807.csv|pinnacle-history-20260703-091206.csv|pinnacle-history-20260703-213719.csv|pinnacle-history-20260704-091223.csv,player1
ATP,unresolved_full_name,Taylor Fritz,Nishesh Basavareddy,taylor fritz,nishesh basavareddy,2026-05-21,2026-05-24,77,pinnacle-history-20260521-221304.csv|pinnacle-history-20260521-224309.csv|pinnacle-history-20260521-230219.csv|pinnacle-history-20260521-231308.csv|pinnacle-history-20260521-234257.csv|pinnacle-history-20260522-001340.csv|pinnacle-history-20260522-091257.csv|pinnacle-history-20260522-092730.csv|pinnacle-history-20260522-094758.csv|pinnacle-history-20260522-102401.csv|pinnacle-history-20260522-104907.csv|pinnacle-history-20260522-111916.csv|pinnacle-history-20260522-114830.csv|pinnacle-history-20260522-122004.csv|pinnacle-history-20260522-125159.csv|pinnacle-history-20260522-132114.csv|pinnacle-history-20260522-134902.csv|pinnacle-history-20260522-142651.csv|pinnacle-history-20260522-144802.csv|pinnacle-history-20260522-151824.csv|pinnacle-history-20260522-154756.csv|pinnacle-history-20260522-161753.csv|pinnacle-history-20260522-164756.csv|pinnacle-history-20260522-171828.csv|pinnacle-history-20260522-174754.csv|pinnacle-history-20260522-181755.csv|pinnacle-history-20260522-184756.csv|pinnacle-history-20260522-191759.csv|pinnacle-history-20260522-194755.csv|pinnacle-history-20260522-201755.csv|pinnacle-history-20260522-204758.csv|pinnacle-history-20260522-211808.csv|pinnacle-history-20260522-214809.csv|pinnacle-history-20260522-221758.csv|pinnacle-history-20260522-224756.csv|pinnacle-history-20260522-230034.csv|pinnacle-history-20260523-071652.csv|pinnacle-history-20260523-071756.csv|pinnacle-history-20260523-074649.csv|pinnacle-history-20260523-074751.csv|pinnacle-history-20260523-081649.csv|pinnacle-history-20260523-081751.csv|pinnacle-history-20260523-084648.csv|pinnacle-history-20260523-084750.csv|pinnacle-history-20260523-090813.csv|pinnacle-history-20260523-091649.csv|pinnacle-history-20260523-094648.csv|pinnacle-history-20260523-101712.csv|pinnacle-history-20260523-104654.csv|pinnacle-history-20260523-112104.csv|pinnacle-history-20260523-114705.csv|pinnacle-history-20260523-122415.csv|pinnacle-history-20260523-125217.csv|pinnacle-history-20260523-131818.csv|pinnacle-history-20260523-134650.csv|pinnacle-history-20260523-141820.csv|pinnacle-history-20260523-144650.csv|pinnacle-history-20260523-151747.csv|pinnacle-history-20260523-155134.csv|pinnacle-history-20260523-191947.csv|pinnacle-history-20260523-194650.csv|pinnacle-history-20260523-201732.csv|pinnacle-history-20260523-204649.csv|pinnacle-history-20260523-211659.csv|pinnacle-history-20260523-214653.csv|pinnacle-history-20260523-221653.csv|pinnacle-history-20260523-224652.csv|pinnacle-history-20260523-230137.csv|pinnacle-history-20260524-083840.csv|pinnacle-history-20260524-085807.csv|pinnacle-history-20260524-091103.csv|pinnacle-history-20260524-092804.csv|pinnacle-history-20260524-095803.csv|pinnacle-history-20260524-102808.csv|pinnacle-history-20260524-105805.csv|pinnacle-history-20260524-112804.csv|pinnacle-history-20260524-115804.csv,player1
ATP,unresolved_full_name,Taylor Fritz,Patrick Kypson,taylor fritz,patrick kypson,2026-07-01,2026-07-01,1,pinnacle-history-20260701-213903.csv,player1
