tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2026-0339,Brisbane,Hard,32,A,20260104,346,208014,,WC,Rinky Hijikata,R,178,AUS,24.8,208286,1,,Matteo Arnaldi,R,185,ITA,24.8,W/O,3,Q2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,546,61,858
2026-0339,Brisbane,Hard,32,A,20260104,345,111460,,,Quentin Halys,R,191,FRA,29.1,111794,2,,Kamil Majchrzak,R,180,POL,29.9,1-6 7-6(5) 6-4,3,Q2,121,19,5,98,61,49,13,14,3,5,9,0,88,54,44,21,15,4,5,91,669,59,861
2026-0339,Brisbane,Hard,32,A,20260104,344,105902,10,,James Duckworth,R,183,AUS,33.9,209279,3,,Terence Atmane,L,193,FRA,23.9,7-6(4) 6-2,3,Q2,89,7,0,64,38,32,15,10,1,2,7,4,64,38,29,8,10,3,6,86,694,62,855
2026-0339,Brisbane,Hard,32,A,20260104,343,105807,,,Pablo Carreno Busta,R,188,ESP,34.4,209070,4,,Arthur Cazaux,R,183,FRA,23.3,5-3 RET,3,Q2,46,1,1,27,19,16,2,4,0,0,3,0,26,15,10,5,4,1,2,92,656,63,848
2026-0339,Brisbane,Hard,32,A,20260104,342,209920,9,,Raphael Collignon,R,191,BEL,23.9,210319,5,,Ethan Quinn,R,191,USA,21.8,7-5 6-3,3,Q2,78,8,4,53,36,32,10,10,1,1,10,2,65,44,28,13,11,7,10,84,704,76,733
2026-0339,Brisbane,Hard,32,A,20260104,341,208013,,WC,Dane Sweeny,R,170,AUS,24.8,106331,,WC,Christopher Oconnell,R,183,AUS,31.5,6-7(4) 6-3 6-4,3,Q2,146,5,2,110,70,42,19,16,2,7,7,3,97,65,40,9,15,3,10,183,315,114,536
2026-0339,Brisbane,Hard,32,A,20260104,340,208286,1,,Matteo Arnaldi,R,185,ITA,24.8,200384,,,Hugo Gaston,L,173,FRA,25.2,6-1 5-7 7-6(5),3,Q1,152,10,5,119,69,49,21,16,10,14,4,1,100,65,44,13,15,8,13,61,858,94,653
2026-0339,Brisbane,Hard,32,A,20260104,339,208014,,WC,Rinky Hijikata,R,178,AUS,24.8,209209,8,,Filip Misolic,R,180,AUT,24.4,6-3 6-3,3,Q1,93,11,3,65,41,32,9,9,6,7,5,2,76,45,25,14,9,7,11,111,546,79,724
2026-0339,Brisbane,Hard,32,A,20260104,338,111794,2,,Kamil Majchrzak,R,180,POL,29.9,213178,,WC,Cruz Hewitt,U,,AUS,17.0,6-4 7-5,3,Q1,83,7,6,63,35,25,14,11,2,5,3,1,67,48,27,9,11,8,13,59,861,735,41
2026-0339,Brisbane,Hard,32,A,20260104,337,111460,,,Quentin Halys,R,191,FRA,29.1,208118,11,,Eliot Spizzirri,R,183,USA,24.0,6-4 6-3,3,Q1,79,10,2,68,44,36,12,10,4,4,5,3,52,31,24,10,9,3,5,91,669,89,672
2026-0339,Brisbane,Hard,32,A,20260104,336,209279,3,,Terence Atmane,L,193,FRA,23.9,105870,,,Yannick Hanfmann,R,193,GER,34.1,6-4 7-6(3),3,Q1,94,10,0,63,38,30,18,11,1,2,10,1,61,44,35,7,11,3,5,62,855,102,618
2026-0339,Brisbane,Hard,32,A,20260104,335,105902,10,,James Duckworth,R,183,AUS,33.9,209262,,,Tristan Schoolkate,R,183,AUS,24.8,6-3 6-2,3,Q1,71,5,2,47,19,17,19,9,0,0,9,5,50,26,20,7,8,1,4,86,694,97,641
